Area,Zone,Time,People.Frequency,Is.Police_Station,Is.Bar,Tier,Residence.Level,Class
237,0,-1,0,0,0,0,0,1
1221,0,-1,0,0,0,0,0,1
236,0,-1,0,0,0,0,0,1
171,0,-1,0,0,0,0,0,1
684,0,-1,0,0,0,0,0,1
1230,0,-1,0,0,0,0,0,1
435,0,-1,0,0,0,0,0,1
2166,0,-1,0,0,0,0,0,1
2166,0,-1,0,0,0,0,0,1
594,0,-1,0,0,0,0,0,1
1224,0,-1,0,0,0,0,0,1
1217,0,-1,0,0,0,0,0,1
1405,0,-1,0,0,0,0,0,1
318,0,-1,0,0,0,0,0,1
1479,0,-1,0,0,0,0,0,1
1480,0,-1,0,0,0,0,0,1
200,0,-1,0,0,0,0,0,1
114,0,-1,0,0,0,0,0,1
1954,0,-1,0,0,0,0,0,1
1471,0,-1,0,0,0,0,0,1
253,0,-1,0,0,0,0,0,1
1593,0,-1,0,0,0,0,0,1
367,0,-1,0,0,0,0,0,1
1476,0,-1,0,0,0,0,0,1
18,0,-1,0,0,0,0,0,1
1563,0,-1,0,0,0,0,0,1
1645,0,-1,0,0,0,0,0,1
34,0,-1,0,0,0,0,0,1
1403,0,-1,0,0,0,0,0,1
1347,0,-1,0,0,0,0,0,1
18,0,-1,0,0,0,0,0,1
1694,0,-1,0,0,0,0,0,1
1509,0,-1,0,0,0,0,0,1
341,0,-1,0,0,0,0,0,1
1576,0,-1,0,0,0,0,0,1
902,0,-1,0,0,0,0,0,1
1955,0,-1,0,0,0,0,0,1
423,0,-1,0,0,0,0,0,1
1887,0,-1,0,0,0,0,0,1
1032,0,-1,0,0,0,0,0,1
733,0,-1,0,0,0,0,0,1
2088,0,-1,0,0,0,0,0,1
635,0,-1,0,0,0,0,0,1
2027,0,-1,0,0,0,0,0,1
1885,0,-1,0,0,0,0,0,1
1886,0,-1,0,0,0,0,0,1
1874,0,-1,0,0,0,0,0,1
737,0,-1,0,0,0,0,0,1
403,0,-1,0,0,0,0,0,1
1274,0,-1,0,0,0,0,0,1
1885,0,-1,0,0,0,0,0,1
905,0,-1,0,0,0,0,0,1
1331,0,-1,0,0,0,0,0,1
1385,0,-1,0,0,0,0,0,1
1980,0,-1,0,0,0,0,0,1
1966,0,-1,0,0,0,0,0,1
1881,0,-1,0,0,0,0,0,1
747,0,-1,0,0,0,0,0,1
1979,0,-1,0,0,0,0,0,1
1411,0,-1,0,0,0,0,0,1
1384,0,-1,0,0,0,0,0,1
1659,0,-1,0,0,0,0,0,1
1462,0,-1,0,0,0,0,0,1
1873,0,-1,0,0,0,0,0,1
1683,0,-1,0,0,0,0,0,1
1323,0,-1,0,0,0,0,0,1
383,0,-1,0,0,0,0,0,1
718,0,-1,0,0,0,0,0,1
1413,0,-1,0,0,0,0,0,1
1326,0,-1,0,0,0,0,0,1
1339,0,-1,0,0,0,0,0,1
2184,0,-1,0,0,0,0,0,1
1633,0,-1,0,0,0,0,0,1
209,0,-1,0,0,0,0,0,1
2121,0,-1,0,0,0,0,0,1
210,0,-1,0,0,0,0,0,1
289,0,-1,0,0,0,0,0,1
594,0,-1,0,0,0,0,0,1
510,0,-1,0,0,0,0,0,1
587,0,-1,0,0,0,0,0,1
510,0,-1,0,0,0,0,0,1
510,0,-1,0,0,0,0,0,1
510,0,-1,0,0,0,0,0,1
488,0,-1,0,0,0,0,0,1
1491,0,-1,0,0,0,0,0,1
1267,0,-1,0,0,0,0,0,1
488,0,-1,0,0,0,0,0,1
488,0,-1,0,0,0,0,0,1
488,0,-1,0,0,0,0,0,1
862,0,-1,0,0,0,0,0,1
1288,0,-1,0,0,0,0,0,1
1098,0,-1,0,0,0,0,0,1
232,0,-1,0,0,0,0,0,1
594,0,-1,0,0,0,0,0,1
594,0,-1,0,0,0,0,0,1
1207,0,-1,0,0,0,0,0,1
1316,0,-1,0,0,0,0,0,1
1005,0,-1,0,0,0,0,0,1
1005,0,-1,0,0,0,0,0,1
129,0,-1,0,0,0,0,0,1
1161,0,-1,0,0,0,0,0,1
347,0,-1,0,0,0,0,0,1
640,0,-1,0,0,0,0,0,1
351,0,-1,0,0,0,0,0,1
330,0,-1,0,0,0,0,0,1
1005,0,-1,0,0,0,0,0,1
553,0,-1,0,0,0,0,0,1
323,0,-1,0,0,0,0,0,1
1492,0,-1,0,0,0,0,0,1
1321,0,-1,0,0,0,0,0,1
239,0,-1,0,0,0,0,0,1
239,0,-1,0,0,0,0,0,1
239,0,-1,0,0,0,0,0,1
230,0,-1,0,0,0,0,0,1
239,0,-1,0,0,0,0,0,1
435,0,-1,0,0,0,0,0,1
435,0,-1,0,0,0,0,0,1
431,0,-1,0,0,0,0,0,1
692,0,-1,0,0,0,0,0,1
851,0,-1,0,0,0,0,0,1
617,1,-1,0,0,0,0,0,1
2166,1,-1,0,0,0,0,0,1
2166,1,-1,0,0,0,0,0,1
687,1,-1,0,0,0,0,0,1
607,1,-1,0,0,0,0,0,1
435,1,-1,0,0,0,0,0,1
693,1,-1,0,0,0,0,0,1
607,1,-1,0,0,0,0,0,1
693,1,-1,0,0,0,0,0,1
607,1,-1,0,0,0,0,0,1
617,1,-1,0,0,0,0,0,1
617,1,-1,0,0,0,0,0,1
710,1,-1,0,0,0,0,0,1
504,1,-1,0,0,0,0,0,1
523,1,-1,0,0,0,0,0,1
509,1,-1,0,0,0,0,0,1
2067,1,-1,0,0,0,0,0,1
16,1,-1,0,0,0,0,0,1
1053,1,-1,0,0,0,0,0,1
532,1,-1,0,0,0,0,0,1
38,1,-1,0,0,0,0,0,1
133,1,-1,0,0,0,0,0,1
1053,1,-1,0,0,0,0,0,1
2010,1,-1,0,0,0,0,0,1
2011,1,-1,0,0,0,0,0,1
